t_s,H,n_kpts,rms_m,source
2735.0,"[[0.005425515753374049, -0.04593640188446106, 18.16483614625071], [-0.0008625142661088304, 0.01686325751256508, -4.2754322445856], [7.095684797745666e-05, -0.0018068913739150102, 1.0]]",7,0.93,model
2736.0,,8,17.5,reject
2737.0,"[[0.004877204267872195, -0.04344554577446833, 18.69754399615736], [-0.003618468180292579, 0.041107088594123216, -10.711449838474202], [-8.623709825952471e-05, -0.0011890541727050553, 1.0]]",8,3.0,model
2738.0,"[[0.0058229506394918105, -0.047154044837912114, 20.64614139550342], [-0.0023715570914793365, 0.03310466702530288, -9.102537150817268], [1.7883238836324254e-05, -0.0015139887121746302, 1.0]]",9,0.53,model
2739.0,"[[0.005347314642063768, -0.04551099067701111, 20.373414377285368], [-0.0024451023383099137, 0.03153527428021597, -8.486370661951218], [2.1597511181430037e-06, -0.0014836912807650014, 1.0]]",10,0.81,model
2740.0,"[[0.006262965839001882, -0.04984171277241909, 23.00569094303977], [-0.001134749321331275, 0.03495987828280005, -12.398753624250848], [3.721750858280585e-05, -0.001599003669942073, 1.0]]",13,1.5,model
2741.0,"[[0.006199805932578443, -0.04834795350445566, 23.106683014551407], [-0.0006428462345859861, 0.03696953591720569, -13.944476240955078], [6.245137584440973e-06, -0.0015576932093831653, 1.0]]",15,0.56,model
2742.0,"[[0.003469533792112746, -0.04624662486199889, 25.230960488871023], [0.00025092381671781486, 0.030867700306546463, -12.593812115006244], [-5.948088193601705e-05, -0.0014972525260663586, 1.0]]",15,0.37,model
2743.0,"[[0.002632240302258, -0.04664602817501651, 26.9423642806295], [0.0005389884759113984, 0.030671960839863184, -12.597310220987408], [-8.103593741542213e-05, -0.0015054699833965375, 1.0]]",15,0.53,model
2744.0,"[[0.003248879344343398, -0.04513586890067073, 27.888773865858838], [0.0008487959661012463, 0.0342036218564746, -13.604229211474538], [-7.835769574465989e-05, -0.0014665962401445964, 0.9999999999999999]]",13,1.41,model
2745.0,"[[0.003234951521217193, -0.044992734699940716, 28.039338936690925], [0.0010184515210810653, 0.03488576423927688, -13.86318241869165], [-8.265142785021627e-05, -0.001463531114672079, 1.0]]",13,1.19,model
2746.0,"[[0.005328040497253789, -0.04705216642232651, 23.552120219553935], [-0.0002674364556908563, 0.035004373773590454, -13.503244862397882], [-1.7819437879393643e-05, -0.0015259832355526402, 1.0]]",16,0.51,model
2747.0,"[[0.007824814435134574, -0.05280940847753621, 22.168409800887517], [-0.0017596750608733088, 0.039394320510937116, -13.128479725673897], [7.389196293178715e-05, -0.0016376813889293883, 1.0]]",10,1.44,model
2748.0,"[[0.0056865321318522975, -0.0481852961067647, 20.15798524887864], [-0.0033511356391439195, 0.03549631674663744, -9.159621018845495], [-8.724531352457872e-06, -0.001476120530614464, 1.0]]",9,1.44,model
2749.0,"[[0.005954371739713137, -0.04799800430424817, 20.000363788493395], [-0.003770877464789338, 0.048323414935349224, -14.355169292161635], [-5.126526866210228e-05, -0.0012553307178232258, 0.9999999999999999]]",8,1.99,model
2750.0,"[[0.0060168299755367, -0.04907864437104718, 19.59826959399244], [-0.001970658510823897, 0.031612880796524585, -9.48682971835092], [4.8848439330918843e-05, -0.0016688773514361799, 1.0]]",8,1.43,model
2751.0,"[[0.005932348924539248, -0.049040605847253935, 19.68112467098268], [-0.0019886633343837493, 0.031552514196206916, -9.535646765135583], [4.695237249397176e-05, -0.0016676925175421046, 1.0]]",8,1.43,model
2752.0,"[[0.005980456040732224, -0.04889766922661388, 19.662233052127647], [-0.0020392084928189105, 0.031902811585869315, -9.583274165413242], [4.671205572627804e-05, -0.0016557554344416017, 1.0]]",8,1.37,model
2753.0,"[[0.006013166954109095, -0.04909837921517524, 19.640969959251333], [-0.0019782432765354995, 0.031140350594014446, -9.351594196232039], [5.1226978874231205e-05, -0.001676981301048262, 1.0]]",8,1.43,model
2754.0,"[[0.0059777919458630585, -0.04876889667572193, 19.632839681946926], [-0.002045020151213715, 0.03244746761291256, -9.739435976170121], [4.341354046000558e-05, -0.001640492311638044, 1.0]]",8,1.38,model
2755.0,"[[0.005925353812720897, -0.04914928336185776, 19.64238423065187], [-0.002017963952419234, 0.03085866055955767, -9.284869625551742], [4.91261917862286e-05, -0.0016850519380657949, 0.9999999999999999]]",8,1.5,model
2756.0,"[[0.006055259417337857, -0.0487944791301179, 19.57951135340496], [-0.0020362094480496523, 0.03227069608778705, -9.695584602479736], [4.567831638017452e-05, -0.0016432264841110017, 1.0]]",8,1.37,model
